tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group
209246	Nocardia inohanensis	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1344003	Williamsia sterculiae	Williamsia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1084526	Nibrella saemangeumensis	Nibrella	Spirosomataceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
1480696	Hymenobacter roseus	Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
1162717	Pseudostreptobacillus hongkongensis	Pseudostreptobacillus	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteriota		Bacteria			
2500547	Apibacter raozihei	Apibacter	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria			
1196095	Gilliamella apicola	Gilliamella	Orbaceae	Orbales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1758689	Serinicoccus hydrothermalis	Serinicoccus	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2784002	Albertania alaskaensis	Albertania	Oculatellaceae	Oculatellales	Cyanophyceae	Cyanobacteriota	Terrabacteria group	Bacteria			
55802	Thermococcus barophilus	Thermococcus	Thermococcaceae	Thermococcales	Thermococci	Euryarchaeota		Archaea			
405436	Micromonospora pattaloongensis	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
288004	Beggiatoa leptomitoformis	Beggiatoa	Thiotrichaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1940521	Minimelanolocus yunnanensis	Minimelanolocus	Herpotrichiellaceae	Chaetothyriales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota			
2505970	Campylobacter armoricus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Campylobacterota		Bacteria			
903983	Enterococcus quebecensis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
641702	Zhongshania antarctica	Zhongshania	Spongiibacteraceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota		Bacteria			
291403	Algoriphagus yeomjeoni	Algoriphagus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
53378	Mycobacterium paraffinicum	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
137357	Ligilactobacillus equi	Ligilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
2097	Mycoplasmoides genitalium	Mycoplasmoides	Mycoplasmoidaceae	Mycoplasmoidales		Mycoplasmatota	Terrabacteria group	Bacteria			
688066	Kosmotoga arenicorallina	Kosmotoga	Kosmotogaceae	Kosmotogales	Thermotogae	Thermotogota		Bacteria			
2233999	Skermanella pratensis	Skermanella	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota		Bacteria			
125627	Thiofilum flexile	Thiofilum	Thiofilaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota		Bacteria			
1561923	Paenibacillus tibetensis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
1567108	Rufibacter roseus	Rufibacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
2585252	Nemania viridis	Nemania	Xylariaceae	Xylariales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota			
457934	Elioraea tepidiphila	Elioraea	Elioraeaceae	Rhodospirillales	Alphaproteobacteria	Pseudomonadota		Bacteria			
1826727	Proteinivorax hydrogeniformans	Proteinivorax	Proteinivoraceae	Eubacteriales	Clostridia	Bacillota	Terrabacteria group	Bacteria			
67369	Streptomyces toxytricini	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
1178537	Bacillus xiamenensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Bacillota	Terrabacteria group	Bacteria			
1660183	Kineococcus mangrovi	Kineococcus	Kineosporiaceae	Kineosporiales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
2546226	Arenimonas terrae	Arenimonas	Lysobacteraceae	Lysobacterales	Gammaproteobacteria	Pseudomonadota		Bacteria			
999183	Arcanobacterium canis	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
86182	Curvibacter lanceolatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
1443036	Vespertiliibacter pulmonis	Vespertiliibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Pseudomonadota		Bacteria			
69365	Microbacterium arabinogalactanolyticum	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Terrabacteria group	Bacteria			
326523	Neisseria zoodegmatis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Pseudomonadota		Bacteria			
1297121	Cyclobacterium xiamenense	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidota	FCB group	Bacteria			
1776165	Massilia eburnea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Pseudomonadota		Bacteria			
38293	Photobacterium damselae	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota		Bacteria			
571177	Desulfosarcina alkanivorans	Desulfosarcina	Desulfosarcinaceae	Desulfobacterales	Desulfobacteria	Thermodesulfobacteriota		Bacteria			
565430	Plenodomus visci	Plenodomus	Leptosphaeriaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			
